"1824","1020 GRAND CONCOURSE 22J, New York, NY, 10451","Match","Non_Exact","1020 GRAND CONCOURSE, BRONX, NY, 10451","-73.92072,40.83018","640809824","R"
"2958","2740 NETHERLAND AVENUE, New York, NY, 10463","Match","Non_Exact","2740 NETHERLAND AVE, BRONX, NY, 10463","-73.91351,40.880463","80296117","R"
"1829","1020 GRAND CONCOURSE, New York, NY, 10451","Match","Non_Exact","1020 GRAND CONCOURSE, BRONX, NY, 10451","-73.92072,40.83018","640809824","R"
"1827","1020 GRAND CONCOURSE 18X, New York, NY, 10451","Match","Non_Exact","1020 GRAND CONCOURSE, BRONX, NY, 10451","-73.92072,40.83018","640809824","R"
"1828","1020 GRAND CONCOURSE 24F, New York, NY, 10451","Match","Non_Exact","1020 GRAND CONCOURSE, BRONX, NY, 10451","-73.92072,40.83018","640809824","R"
"3291","3725 HENRY HUDSON PARKWAY 9E, New York, NY, 10463","No_Match"
"3290","3755 HENRY HUDSON PARKWAY 11E, New York, NY, 10463","No_Match"
"3295","3701 HENRY HUDSON PARKWAY 7F, New York, NY, 10463","No_Match"
"3294","3701 HENRY HUDSON PKWY W 6C, New York, NY, 10463","Match","Non_Exact","3701 HENRY HUDSON PKWY W, BRONX, NY, 10463","-73.911644,40.888237","80312919","L"
"3293","3725 HENRY HUDSON PARKWAY 1C, New York, NY, 10463","No_Match"
"3292","3725 HENRY HUDSON PARKWAY 7H, New York, NY, 10463","No_Match"
"3299","640 WEST 239TH STREET 6F, New York, NY, 10463","Match","Non_Exact","640 W 239TH ST, BRONX, NY, 10463","-73.911896,40.88966","642559613","L"
"3298","3720 INDEPENDENCE AVENUE 4D, New York, NY, 10463","Match","Non_Exact","3720 INDEPENDENCE AVE, BRONX, NY, 10463","-73.91309,40.88837","80295967","R"
"3297","3720 INDEPENDENCE AVENUE 4A, New York, NY, 10463","Match","Non_Exact","3720 INDEPENDENCE AVE, BRONX, NY, 10463","-73.91309,40.88837","80295967","R"
"3296","3701 HENRY HUDSON PARKWAY 6A, New York, NY, 10463","No_Match"
"2940","2186 CRUGER AVENUE 3D, New York, NY, 10462","Match","Non_Exact","2186 CRUGER AVE, BRONX, NY, 10462","-73.86664,40.85613","80304346","R"
"540","2320 BEAUMONT AVENUE, New York, NY, 10458","Match","Non_Exact","2320 BEAUMONT AVE, BRONX, NY, 10458","-73.88526,40.85254","80301612","R"
"3","2368 WASHINGTON AVENUE, New York, NY, 10458","Match","Non_Exact","2368 WASHINGTON AVE, BRONX, NY, 10458","-73.89194,40.856636","80301415","R"
"2","455 EAST 184 STREET, New York, NY, 10458","Match","Non_Exact","455 E 184TH ST, BRONX, NY, 10458","-73.892975,40.855976","80301408","L"
"542","577 EAST 184 STREET, New York, NY, 10458","Match","Non_Exact","577 E 184TH ST, BRONX, NY, 10458","-73.88986,40.85398","80301462","L"
"1","2329 WASHINGTON AVE, New York, NY, 10458","Match","Non_Exact","2329 WASHINGTON AVE, BRONX, NY, 10458","-73.892525,40.855953","80301413","L"
"3289","3755 HENRY HUDSON PKWY W 1C, New York, NY, 10463","Match","Non_Exact","3755 HENRY HUDSON PKWY W, BRONX, NY, 10463","-73.910484,40.88864","638742205","L"
"541","2320 BEAUMONT AVENUE, New York, NY, 10458","Match","Non_Exact","2320 BEAUMONT AVE, BRONX, NY, 10458","-73.88526,40.85254","80301612","R"
"2944","2199 HOLLAND AVENUE 2E, New York, NY, 10462","Match","Non_Exact","2199 HOLLAND AVE, BRONX, NY, 10462","-73.8657,40.856495","80304348","L"
"544","2449 CAMBRELENG AVENUE, New York, NY, 10458","Match","Non_Exact","2449 CAMBRELENG AVE, BRONX, NY, 10458","-73.88438,40.85575","80301603","L"
"7","1557 FULTON AVENUE, New York, NY, 10457","Match","Non_Exact","1557 FULTON AVE, BRONX, NY, 10457","-73.899826,40.83792","80301348","L"
"2943","2199 HOLLAND AVENUE 1J, New York, NY, 10462","Match","Non_Exact","2199 HOLLAND AVE, BRONX, NY, 10462","-73.8657,40.856495","80304348","L"
"543","2406 HOFFMAN STREET, New York, NY, 10458","Match","Non_Exact","2406 HOFFMAN ST, BRONX, NY, 10458","-73.88828,40.85621","80301557","R"
"6","3862 3RD AVENUE, New York, NY, 10457","Match","Non_Exact","3862 3RD AVE, BRONX, NY, 10457","-73.90086,40.838623","80301346","R"
"2942","2186 CRUGER AVENUE 1F, New York, NY, 10462","Match","Non_Exact","2186 CRUGER AVE, BRONX, NY, 10462","-73.86664,40.85613","80304346","R"
"1810","1020 GRAND CONCOURSE 7H, New York, NY, 10451","Match","Non_Exact","1020 GRAND CONCOURSE, BRONX, NY, 10451","-73.92072,40.83018","640809824","R"
"546","697 EAST 183 STREET, New York, NY, 10458","Match","Non_Exact","697 E 183RD ST, BRONX, NY, 10458","-73.88569,40.852047","80301591","L"
"5","517 EAST 171 STREET, New York, NY, 10457","Match","Non_Exact","517 E 171ST ST, BRONX, NY, 10457","-73.90284,40.83748","80301297","L"
"2941","2186 CRUGER AVENUE 3G, New York, NY, 10462","Match","Non_Exact","2186 CRUGER AVE, BRONX, NY, 10462","-73.86664,40.85613","80304346","R"
"1811","1020 GRAND CONCOURSE 8K, New York, NY, 10451","Match","Non_Exact","1020 GRAND CONCOURSE, BRONX, NY, 10451","-73.92072,40.83018","640809824","R"
"545","CAMBRELENG AVENUE, New York, NY, 10458","No_Match"
"4","3823 3 AVENUE, New York, NY, 10457","Match","Non_Exact","3823 3RD AVE, BRONX, NY, 10457","-73.901566,40.837704","80301304","L"
"2948","2187 HOLLAND AVENUE 1B, New York, NY, 10462","Match","Non_Exact","2187 HOLLAND AVE, BRONX, NY, 10462","-73.86571,40.856133","80304348","L"
"1812","1020 GRAND CONCOURSE 21H, New York, NY, 10451","Match","Non_Exact","1020 GRAND CONCOURSE, BRONX, NY, 10451","-73.92072,40.83018","640809824","R"
"548","2374 BATHGATE AVENUE, New York, NY, 10458","Match","Non_Exact","2374 BATHGATE AVE, BRONX, NY, 10458","-73.89041,40.85623","80301446","R"
"2947","2187 HOLLAND AVENUE 2B, New York, NY, 10462","Match","Non_Exact","2187 HOLLAND AVE, BRONX, NY, 10462","-73.86571,40.856133","80304348","L"
"1813","1020 GRAND CONCOURSE 7U, New York, NY, 10451","Match","Non_Exact","1020 GRAND CONCOURSE, BRONX, NY, 10451","-73.92072,40.83018","640809824","R"
"547","2416 LORILLARD PLACE, New York, NY, 10458","Match","Non_Exact","2416 LORILLARD PL, BRONX, NY, 10458","-73.88886,40.856808","80301455","R"
"2946","2187 HOLLAND AVENUE 3J, New York, NY, 10462","Match","Non_Exact","2187 HOLLAND AVE, BRONX, NY, 10462","-73.86571,40.856133","80304348","L"
"1814","1020 GRAND CONCOURSE 7D, New York, NY, 10451","Match","Non_Exact","1020 GRAND CONCOURSE, BRONX, NY, 10451","-73.92072,40.83018","640809824","R"
"9","2264 WEBSTER AVENUE, New York, NY, 10457","Match","Non_Exact","2264 WEBSTER AVE, BRONX, NY, 10457","-73.89587,40.8558","642559512","R"
"2945","2187 HOLLAND AVE 5H, New York, NY, 10462","Match","Non_Exact","2187 HOLLAND AVE, BRONX, NY, 10462","-73.86571,40.856133","80304348","L"
"1815","1020 GRAND CONCOURSE 20U, New York, NY, 10451","Match","Non_Exact","1020 GRAND CONCOURSE, BRONX, NY, 10451","-73.92072,40.83018","640809824","R"
"549","DR KAZIMIROFF BLVD, New York, NY, 10458","No_Match"
"8","1557 FULTON AVENUE, New York, NY, 10457","Match","Non_Exact","1557 FULTON AVE, BRONX, NY, 10457","-73.899826,40.83792","80301348","L"
"1816","1020 GRAND CONCOURSE 16FF, New York, NY, 10451","Match","Non_Exact","1020 GRAND CONCOURSE, BRONX, NY, 10451","-73.92072,40.83018","640809824","R"
"1817","1020 GRAND CONCOURSE 10P, New York, NY, 10451","Match","Non_Exact","1020 GRAND CONCOURSE, BRONX, NY, 10451","-73.92072,40.83018","640809824","R"
"1818","1020 GRAND CONCOURSE 12V, New York, NY, 10451","Match","Non_Exact","1020 GRAND CONCOURSE, BRONX, NY, 10451","-73.92072,40.83018","640809824","R"
"2949","2165 MATTHEWS AVENUE 3F, New York, NY, 10462","Match","Non_Exact","2165 MATTHEWS AVE, BRONX, NY, 10462","-73.8629,40.85571","80304373","L"
"1819","1020 GRAND CONCOURSE 23E, New York, NY, 10451","Match","Non_Exact","1020 GRAND CONCOURSE, BRONX, NY, 10451","-73.92072,40.83018","640809824","R"
"2980","6044 TYNDALL AVENUE, New York, NY, 10471","Match","Non_Exact","6044 TYNDALL AVE, BRONX, NY, 10471","-73.90074,40.908794","80295760","R"
